quarter,industry1,industry2,industry3,total_paid_hours
1990-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.3
1990-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,48.5
1990-Q1,manufacturing,paper products and publishing,paper products and publishing,49.3
1990-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,47.7
1990-Q1,manufacturing,rubber and plastic products,rubber and plastic products,48.7
1990-Q1,manufacturing,fabricated metal products,fabricated metal products,50.3
1990-Q1,manufacturing,machinery and equipment,machinery and equipment,50.5
1990-Q1,manufacturing,electrical products,electrical products,47.2
1990-Q1,manufacturing,electronic products,electronic products,46.9
1990-Q1,manufacturing,medical and precision instruments,medical and precision instruments,46.9
1990-Q1,manufacturing,transport equipment,transport equipment,52.8
1990-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.6
1990-Q1,construction,construction,construction,50.5
1990-Q1,services,wholesale and retail trade,wholesale trade,44.1
1990-Q1,services,wholesale and retail trade,retail trade,42.7
1990-Q1,services,hotels and restaurants,hotels,43.9
1990-Q1,services,hotels and restaurants,restaurants,33.9
1990-Q1,services,"transport, storage and communications","transport, storage and communications",47.3
1990-Q1,services,financial intermediation,financial institutions,44.7
1990-Q1,services,financial intermediation,insurance and pension funding,40.8
1990-Q1,services,business and real estate services,business and real estate services,45.4
1990-Q1,services,"community, social and personal services","community, social and personal services",41.7
1990-Q1,others,others,others,48.1
1990-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4
1990-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,48.8
1990-Q2,manufacturing,paper products and publishing,paper products and publishing,49.7
1990-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,47.8
1990-Q2,manufacturing,rubber and plastic products,rubber and plastic products,48.8
1990-Q2,manufacturing,fabricated metal products,fabricated metal products,50.8
1990-Q2,manufacturing,machinery and equipment,machinery and equipment,50.3
1990-Q2,manufacturing,electrical products,electrical products,47.5
1990-Q2,manufacturing,electronic products,electronic products,47.7
1990-Q2,manufacturing,medical and precision instruments,medical and precision instruments,47
1990-Q2,manufacturing,transport equipment,transport equipment,52.4
1990-Q2,manufacturing,other manufacturing industries,other manufacturing industries,50.3
1990-Q2,construction,construction,construction,50.4
1990-Q2,services,wholesale and retail trade,wholesale trade,44.2
1990-Q2,services,wholesale and retail trade,retail trade,42.7
1990-Q2,services,hotels and restaurants,hotels,44.7
1990-Q2,services,hotels and restaurants,restaurants,34.7
1990-Q2,services,"transport, storage and communications","transport, storage and communications",47.9
1990-Q2,services,financial intermediation,financial institutions,44.4
1990-Q2,services,financial intermediation,insurance and pension funding,41.1
1990-Q2,services,business and real estate services,business and real estate services,45.7
1990-Q2,services,"community, social and personal services","community, social and personal services",41.6
1990-Q2,others,others,others,48.6
1990-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.5
1990-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,48.6
1990-Q3,manufacturing,paper products and publishing,paper products and publishing,49.6
1990-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,47.8
1990-Q3,manufacturing,rubber and plastic products,rubber and plastic products,49.5
1990-Q3,manufacturing,fabricated metal products,fabricated metal products,50
1990-Q3,manufacturing,machinery and equipment,machinery and equipment,50.4
1990-Q3,manufacturing,electrical products,electrical products,48.1
