year,level_1,level_2,value
1980,Total,Manufacturing,2740.3
1980,Total,Construction,844.6
1980,Total,Utilities,170
1980,Total,Other Goods Industries,49.2
1980,Total,Wholesale & Retail Trade,1381.4
1980,Total,Transportation & Storage,1004.2
1980,Total,Accommodation & Food Services,175.9
1980,Total,Information & Communications,212.7
1980,Total,Finance & Insurance,548.9
1980,Total,Business Services,722.3
1980,Total,Other Services Industries,1831
1981,Total,Manufacturing,3232.8
1981,Total,Construction,1170.2
1981,Total,Utilities,192.1
1981,Total,Other Goods Industries,59.9
1981,Total,Wholesale & Retail Trade,1729.8
1981,Total,Transportation & Storage,1113.2
1981,Total,Accommodation & Food Services,262.7
1981,Total,Information & Communications,244.2
1981,Total,Finance & Insurance,689.3
1981,Total,Business Services,894.7
1981,Total,Other Services Industries,2123.9
1982,Total,Manufacturing,3594.2
1982,Total,Construction,1714.4
1982,Total,Utilities,240.1
1982,Total,Other Goods Industries,89.6
1982,Total,Wholesale & Retail Trade,2119
1982,Total,Transportation & Storage,1295.6
1982,Total,Accommodation & Food Services,375.5
1982,Total,Information & Communications,335.3
1982,Total,Finance & Insurance,837.5
1982,Total,Business Services,1082.4
1982,Total,Other Services Industries,2682.5
1983,Total,Manufacturing,3843.7
1983,Total,Construction,2214.8
1983,Total,Utilities,251.4
1983,Total,Other Goods Industries,114.1
1983,Total,Wholesale & Retail Trade,2460.4
1983,Total,Transportation & Storage,1443.9
1983,Total,Accommodation & Food Services,528.2
1983,Total,Information & Communications,419.2
1983,Total,Finance & Insurance,995.6
1983,Total,Business Services,1272.5
1983,Total,Other Services Industries,3068.3
1984,Total,Manufacturing,4401
1984,Total,Construction,2623.5
1984,Total,Utilities,272.9
1984,Total,Other Goods Industries,123.3
1984,Total,Wholesale & Retail Trade,2544.6
1984,Total,Transportation & Storage,1424.2
1984,Total,Accommodation & Food Services,622.2
1984,Total,Information & Communications,472.8
1984,Total,Finance & Insurance,1300.8
1984,Total,Business Services,1514.1
1984,Total,Other Services Industries,3399.5
1985,Total,Manufacturing,4394.5
1985,Total,Construction,2075
1985,Total,Utilities,297.5
1985,Total,Other Goods Industries,117.7
1985,Total,Wholesale & Retail Trade,2684
1985,Total,Transportation & Storage,1515.6
1985,Total,Accommodation & Food Services,655.5
1985,Total,Information & Communications,480.2
1985,Total,Finance & Insurance,1302.4
1985,Total,Business Services,1532.8
1985,Total,Other Services Industries,3831.1
1986,Total,Manufacturing,4082.2
1986,Total,Construction,1634.3
1986,Total,Utilities,266.7
1986,Total,Other Goods Industries,85.4
1986,Total,Wholesale & Retail Trade,2396.1
1986,Total,Transportation & Storage,1508.8
1986,Total,Accommodation & Food Services,675.8
1986,Total,Information & Communications,436.7
1986,Total,Finance & Insurance,1228.5
1986,Total,Business Services,1419
1986,Total,Other Services Industries,3685.6
1987,Total,Manufacturing,4521.2
1987,Total,Construction,1583.2
1987,Total,Utilities,256.8
1987,Total,Other Goods Industries,72.9
1987,Total,Wholesale & Retail Trade,2519.2
1987,Total,Transportation & Storage,1652.7
1987,Total,Accommodation & Food Services,711.8
1987,Total,Information & Communications,465
1987,Total,Finance & Insurance,1314.7
1987,Total,Business Services,1397.9
1987,Total,Other Services Industries,3797.4
1988,Total,Manufacturing,5475.9
1988,Total,Construction,1557.1
1988,Total,Utilities,286.7
1988,Total,Other Goods Industries,65.8
1988,Total,Wholesale & Retail Trade,2955.8
1988,Total,Transportation & Storage,1839
1988,Total,Accommodation & Food Services,819.1
1988,Total,Information & Communications,532.8
