year,industry1,industry2,industry3,incidence_of_retrenchment
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",15.4
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,31.1
1998,manufacturing,paper products and publishing,paper products and publishing,27
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,30.1
1998,manufacturing,rubber and plastic products,rubber and plastic products,62.3
1998,manufacturing,fabricated metal products,fabricated metal products,32.4
1998,manufacturing,machinery and equipment,machinery and equipment,47.7
1998,manufacturing,electrical products,electrical products,118.7
1998,manufacturing,electronic products,electronic products,112.9
1998,manufacturing,medical and precision instruments,medical and precision instruments,26.6
1998,manufacturing,transport equipment,transport equipment,6
1998,manufacturing,other manufacturing industries,other manufacturing industries,113.6
1998,construction,construction,construction,13
1998,services,wholesale and retail trade,wholesale trade,36.4
1998,services,wholesale and retail trade,retail trade,21.8
1998,services,hotels and restaurants,hotels,43.5
1998,services,hotels and restaurants,restaurants,15.1
1998,services,"transport, storage and communications","transport, storage and communications",8.7
1998,services,financial intermediation,financial institutions,25
1998,services,financial intermediation,insurance and pension funding,7
1998,services,business and real estate services,business and real estate services,18.4
1998,services,"community, social and personal services","community, social and personal services",5.3
1998,others,others,others,13.6
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",34.7
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,3.1
1999,manufacturing,paper products and publishing,paper products and publishing,8
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,18
1999,manufacturing,rubber and plastic products,rubber and plastic products,18.3
1999,manufacturing,fabricated metal products,fabricated metal products,8.3
1999,manufacturing,machinery and equipment,machinery and equipment,14.1
1999,manufacturing,electrical products,electrical products,31.5
1999,manufacturing,electronic products,electronic products,56.2
1999,manufacturing,medical and precision instruments,medical and precision instruments,8.9
1999,manufacturing,transport equipment,transport equipment,14.4
1999,manufacturing,other manufacturing industries,other manufacturing industries,10.4
1999,construction,construction,construction,5
1999,services,wholesale and retail trade,wholesale trade,18.1
1999,services,wholesale and retail trade,retail trade,24.8
1999,services,hotels and restaurants,hotels,23.8
1999,services,hotels and restaurants,restaurants,3.1
1999,services,"transport, storage and communications","transport, storage and communications",6.5
1999,services,financial intermediation,financial institutions,24.7
1999,services,financial intermediation,insurance and pension funding,4
1999,services,business and real estate services,business and real estate services,12.2
1999,services,"community, social and personal services","community, social and personal services",3.3
1999,others,others,others,0.8
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",8.1
2000,manufacturing,paper products and printing,paper products and printing,0.7
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",11
2000,manufacturing,rubber and plastic products,rubber and plastic products,4
2000,manufacturing,fabricated metal products,fabricated metal products,8
2000,manufacturing,machinery and equipment,machinery and equipment,9
2000,manufacturing,electrical products,electrical products,6.9
2000,manufacturing,electronic products,electronic products,67.7
2000,manufacturing,medical and precision instruments,medical and precision instruments,0.9
2000,manufacturing,transport equipment,transport equipment,5.4
2000,manufacturing,other manufacturing industries,other manufacturing industries,11.4
2000,construction,construction,construction,2.3
2000,services,wholesale and retail trade,wholesale trade,9.6
2000,services,wholesale and retail trade,retail trade,3.5
2000,services,transport and storage,land transport and supporting services,0.8
2000,services,transport and storage,water transport and supporting services,7.2
2000,services,transport and storage,air transport and supporting services,0.9
2000,services,transport and storage,other transport and storage services,17
2000,services,hotels and restaurants,hotels,12.9
2000,services,hotels and restaurants,restaurants,5.1
2000,services,information and communications,broadcasting and publishing,35.3
2000,services,information and communications,telecommunications,2.3
2000,services,information and communications,it and other information services,6.2
2000,services,financial services,financial institutions,14.2
2000,services,financial services,insurance,5
2000,services,real estate and leasing services,real estate and leasing services,1.6
2000,services,professional services,"legal, accounting and management services",11.8
2000,services,professional services,architectural and engineering services,13.2
2000,services,professional services,other professional services,1.5
2000,services,administrative and support services,administrative and support services,1.4
2000,services,"community, social and personal services",education,0.8
2000,services,"community, social and personal services","health, social and community services",0.3
2000,services,"community, social and personal services","other community, social and personal services",2.9
2000,others,others,others,-
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",8
2001,manufacturing,paper products and printing,paper products and printing,8.7
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",16.2
2001,manufacturing,rubber and plastic products,rubber and plastic products,79.3
2001,manufacturing,fabricated metal products,fabricated metal products,24.7
2001,manufacturing,machinery and equipment,machinery and equipment,33.1
2001,manufacturing,electrical products,electrical products,64.4
2001,manufacturing,electronic products,electronic products,104
2001,manufacturing,medical and precision instruments,medical and precision instruments,27
2001,manufacturing,transport equipment,transport equipment,4.8
2001,manufacturing,other manufacturing industries,other manufacturing industries,32.9
2001,construction,construction,construction,5.9
2001,services,wholesale and retail trade,wholesale trade,28.3
2001,services,wholesale and retail trade,retail trade,5.6
2001,services,transport and storage,land transport and supporting services,10.8
2001,services,transport and storage,water transport and supporting services,5.6
2001,services,transport and storage,air transport and supporting services,12
2001,services,transport and storage,other transport and storage services,17
2001,services,hotels and restaurants,hotels,2.6
2001,services,hotels and restaurants,restaurants,6
2001,services,information and communications,broadcasting and publishing,62.6
2001,services,information and communications,telecommunications,16.2
2001,services,information and communications,it and other information services,56.5
2001,services,financial services,financial institutions,36.3
2001,services,financial services,insurance,17.4
2001,services,real estate and leasing services,real estate and leasing services,3.7
2001,services,professional services,"legal, accounting and management services",43.5
2001,services,professional services,architectural and engineering services,11.4
2001,services,professional services,other professional services,31.3
2001,services,administrative and support services,administrative and support services,13.8
2001,services,"community, social and personal services",education,1.5
2001,services,"community, social and personal services","health, social and community services",0.6
2001,services,"community, social and personal services","other community, social and personal services",5.6
2001,others,others,others,18.7
2002,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",5.5
2002,manufacturing,paper products and printing,paper products and printing,29.6
2002,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",12.6
2002,manufacturing,rubber and plastic products,rubber and plastic products,40.5
2002,manufacturing,fabricated metal products,fabricated metal products,44.6
2002,manufacturing,machinery and equipment,machinery and equipment,28.3
2002,manufacturing,electrical products,electrical products,96.4
2002,manufacturing,electronic products,electronic products,46.8
2002,manufacturing,medical and precision instruments,medical and precision instruments,10.8
2002,manufacturing,transport equipment,transport equipment,4.8
2002,manufacturing,other manufacturing industries,other manufacturing industries,23.6
2002,construction,construction,construction,7
2002,services,wholesale and retail trade,wholesale trade,21.8
2002,services,wholesale and retail trade,retail trade,6.4
2002,services,transport and storage,land transport and supporting services,2.4
2002,services,transport and storage,water transport and supporting services,8.1
2002,services,transport and storage,air transport and supporting services,0.6
2002,services,transport and storage,other transport and storage services,10.3
2002,services,hotels and restaurants,hotels,11.7
2002,services,hotels and restaurants,restaurants,3.9
2002,services,information and communications,broadcasting and publishing,35.6
2002,services,information and communications,telecommunications,38.7
2002,services,information and communications,it and other information services,54.8
2002,services,financial services,financial institutions,44.1
2002,services,financial services,insurance,15.7
2002,services,real estate and leasing services,real estate and leasing services,7.5
2002,services,professional services,"legal, accounting and management services",20.4
2002,services,professional services,architectural and engineering services,10.2
2002,services,professional services,other professional services,27.2
2002,services,administrative and support services,administrative and support services,5
2002,services,"community, social and personal services",education,0.9
2002,services,"community, social and personal services","health, social and community services",0.1
2002,services,"community, social and personal services","other community, social and personal services",7
2002,others,others,others,15.6
2003,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",11.7
2003,manufacturing,paper products and printing,paper products and printing,15.4
2003,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",13.1
2003,manufacturing,rubber and plastic products,rubber and plastic products,33.1
2003,manufacturing,fabricated metal products,fabricated metal products,21.6
2003,manufacturing,machinery and equipment,machinery and equipment,14.4
2003,manufacturing,electrical products,electrical products,32.3
2003,manufacturing,electronic products,electronic products,40.4
2003,manufacturing,medical and precision instruments,medical and precision instruments,23.4
2003,manufacturing,transport equipment,transport equipment,8.1
2003,manufacturing,other manufacturing industries,other manufacturing industries,20.3
2003,construction,construction,construction,5.7
2003,services,wholesale and retail trade,wholesale trade,20
2003,services,wholesale and retail trade,retail trade,13.6
2003,services,transport and storage,land transport and supporting services,24.6
2003,services,transport and storage,water transport and supporting services,27.4
2003,services,transport and storage,air transport and supporting services,28.6
2003,services,transport and storage,other transport and storage services,8.5
2003,services,hotels and restaurants,hotels,12.2
2003,services,hotels and restaurants,restaurants,5.1
2003,services,information and communications,broadcasting and publishing,15
2003,services,information and communications,telecommunications,18.8
2003,services,information and communications,it and other information services,31.2
2003,services,financial services,financial institutions,24.9
2003,services,financial services,insurance,11.8
2003,services,real estate and leasing services,real estate and leasing services,4.5
2003,services,professional services,"legal, accounting and management services",9.7
2003,services,professional services,architectural and engineering services,21.8
2003,services,professional services,other professional services,13.2
2003,services,administrative and support services,administrative and support services,9.5
2003,services,"community, social and personal services",education,2.2
2003,services,"community, social and personal services","health, social and community services",0.8
2003,services,"community, social and personal services","other community, social and personal services",6.9
2003,others,others,others,23.2
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",9.8
2004,manufacturing,paper products and printing,paper products and printing,4
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",23.5
2004,manufacturing,rubber and plastic products,rubber and plastic products,23.7
2004,manufacturing,fabricated metal products,fabricated metal products,9.1
2004,manufacturing,machinery and equipment,machinery and equipment,9.8
