year,occ_desc,estab_size1,estab_size2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,managing director/chief executive officer,all,at least 200 employees,17178,16615
2021,managing director/chief executive officer,all,less than 200 employees,10000,8800
2021,company director,all,at least 200 employees,16276,15693
2021,company director,all,less than 200 employees,6000,6000
2021,chief operating officer/general manager,all,at least 200 employees,13385,13385
2021,chief operating officer/general manager,all,less than 200 employees,10700,9914
2021,budgeting and financial accounting manager (including financial controller),all,at least 200 employees,9200,8923
2021,budgeting and financial accounting manager (including financial controller),all,less than 200 employees,7858,7366
2021,administration manager,all,at least 200 employees,7087,6815
2021,administration manager,all,less than 200 employees,5400,5000
2021,audit manager,all,at least 200 employees,12240,12015
2021,audit manager,all,less than 200 employees,10760,9438
2021,human resource manager,all,at least 200 employees,9001,8504
2021,human resource manager,all,less than 200 employees,7294,6700
2021,policy manager,all,at least 200 employees,8510,8027
2021,strategic planning manager,all,at least 200 employees,12629,12397
2021,strategic planning manager,all,less than 200 employees,11930,11100
2021,risk management manager,all,at least 200 employees,15000,14795
2021,risk management manager,all,less than 200 employees,11526,10717
2021,premises and facilities maintenance manager (excluding building security manager),all,at least 200 employees,6550,6282
2021,premises and facilities maintenance manager (excluding building security manager),all,less than 200 employees,5690,5318
2021,security manager,all,at least 200 employees,6238,5945
2021,security manager,all,less than 200 employees,5510,5457
2021,sales manager,all,at least 200 employees,10036,8903
2021,sales manager,all,less than 200 employees,7165,6090
2021,business development manager,all,at least 200 employees,10243,10126
2021,business development manager,all,less than 200 employees,8296,7200
2021,regional sales manager,all,at least 200 employees,13468,12428
2021,regional sales manager,all,less than 200 employees,11806,10502
2021,merchandising/category manager,all,at least 200 employees,8646,8646
2021,merchandising/category manager,all,less than 200 employees,7350,6810
2021,advertising/public relations manager,all,at least 200 employees,6705,6529
2021,advertising/public relations manager,all,less than 200 employees,7786,7175
2021,marketing manager,all,at least 200 employees,11697,10195
2021,marketing manager,all,less than 200 employees,8218,6895
2021,research and development manager,all,at least 200 employees,9692,9140
2021,research and development manager,all,less than 200 employees,9680,9167
2021,customer service manager,all,at least 200 employees,6842,6522
2021,customer service manager,all,less than 200 employees,6585,6006
2021,call centre manager,all,at least 200 employees,5955,5938
2021,manufacturing manager,all,at least 200 employees,8602,8060
2021,manufacturing manager,all,less than 200 employees,6418,5608
2021,construction manager,all,at least 200 employees,8031,7800
2021,construction manager,all,less than 200 employees,5700,5200
2021,supply and distribution/logistics/warehousing manager,all,at least 200 employees,7910,7425
2021,supply and distribution/logistics/warehousing manager,all,less than 200 employees,5800,5400
2021,procurement/purchasing manager,all,at least 200 employees,8462,8261
2021,procurement/purchasing manager,all,less than 200 employees,6700,5730
2021,transport/technical operations manager (except port/shipping operations),all,at least 200 employees,6513,6262
2021,transport/technical operations manager (except port/shipping operations),all,less than 200 employees,6000,5500
2021,port/shipping operations manager,all,at least 200 employees,6896,6562
2021,port/shipping operations manager,all,less than 200 employees,7886,6842
2021,technical/engineering services manager (excluding transport),all,at least 200 employees,8660,8527
2021,technical/engineering services manager (excluding transport),all,less than 200 employees,7153,6583
2021,quality control/assurance manager,all,at least 200 employees,8397,8106
2021,quality control/assurance manager,all,less than 200 employees,6167,6000
2021,chief information officer/chief technology officer/chief security officer,all,at least 200 employees,14813,14530
2021,chief information officer/chief technology officer/chief security officer,all,less than 200 employees,14026,12720
2021,software and applications manager,all,at least 200 employees,10009,9705
2021,software and applications manager,all,less than 200 employees,7762,7243
2021,"network, communications and infrastructure manager",all,at least 200 employees,7797,7530
2021,"network, communications and infrastructure manager",all,less than 200 employees,7500,6803
2021,ict service manager,all,at least 200 employees,10838,10700
2021,ict service manager,all,less than 200 employees,8000,7350
2021,pre-school education manager,all,less than 200 employees,4925,4765
2021,health services manager,all,at least 200 employees,7780,7385
2021,health services manager,all,less than 200 employees,6000,5663
2021,community and social service manager,all,at least 200 employees,4656,4544
2021,education and training institution manager,all,at least 200 employees,6299,6116
2021,education and training institution manager,all,less than 200 employees,5649,4853
2021,financial services manager,all,at least 200 employees,9981,9551
2021,financial services manager,all,less than 200 employees,14261,13800
2021,insurance services manager,all,at least 200 employees,10000,9751
2021,insurance services manager,all,less than 200 employees,9926,9744
2021,financial risk manager,all,at least 200 employees,13738,13520
2021,financial risk manager,all,less than 200 employees,11480,10833
2021,"community, partnership and relations manager",all,at least 200 employees,5955,5955
2021,hotel operations/lodging services manager,all,at least 200 employees,4300,4200
2021,hotel operations/lodging services manager,all,less than 200 employees,5056,4860
2021,restaurant manager,all,at least 200 employees,3486,3372
2021,restaurant manager,all,less than 200 employees,3200,3012
2021,food and beverage operations manager,all,at least 200 employees,4002,3260
2021,food and beverage operations manager,all,less than 200 employees,3100,2840
2021,retail manager,all,at least 200 employees,4565,4160
2021,retail manager,all,less than 200 employees,5030,3900
2021,wholesale trade manager,all,at least 200 employees,8300,8300
2021,wholesale trade manager,all,less than 200 employees,7790,7000
2021,recreation centre manager,all,at least 200 employees,5557,5439
2021,recreation centre manager,all,less than 200 employees,3654,2550
2021,wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),all,less than 200 employees,4099,2700
2021,event manager,all,less than 200 employees,5389,5175
2021,chemist,all,at least 200 employees,5686,4802
2021,chemist,all,less than 200 employees,5263,5146
2021,operations research analyst,all,at least 200 employees,5824,5576
2021,operations research analyst,all,less than 200 employees,5598,5598
2021,data scientist,all,at least 200 employees,7813,7650
2021,statistical officer/data analyst,all,at least 200 employees,5507,5467
2021,statistical officer/data analyst,all,less than 200 employees,5304,5130
2021,"biologist, botanist, zoologist and related professional",all,at least 200 employees,6381,4608
2021,"biologist, botanist, zoologist and related professional",all,less than 200 employees,5973,5743
2021,biologist,all,at least 200 employees,4715,4500
2021,biologist,all,less than 200 employees,6176,5785
2021,clinical research professional,all,at least 200 employees,4806,4541
2021,industrial and production engineer,all,at least 200 employees,5788,5100
2021,industrial and production engineer,all,less than 200 employees,4874,4521
2021,civil engineer,all,at least 200 employees,5454,5353
