year,major_occ,ind1,occ_desc,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,"professionals, managers & executives",manufacturing,industrial and production engineer,5614,4960
2021,"professionals, managers & executives",manufacturing,electronics engineer,5400,5185
2021,"professionals, managers & executives",manufacturing,transport and vehicle engineer,5608,5398
2021,"professionals, managers & executives","food, beverages & tobacco",sales manager,6581,5401
2021,"professionals, managers & executives","food, beverages & tobacco",managing director/chief executive officer,7766,7000
2021,"professionals, managers & executives","food, beverages & tobacco",budgeting and financial accounting manager (including financial controller),7350,7000
2021,"professionals, managers & executives",paper/ rubber/ plastic product & printing,industrial and production engineer,4655,4475
2021,"professionals, managers & executives",paper/ rubber/ plastic product & printing,managing director/chief executive officer,11080,10205
2021,"professionals, managers & executives",paper/ rubber/ plastic product & printing,sales manager,6100,4756
2021,"professionals, managers & executives","petroleum, chemical & pharmaceutical products",industrial and production engineer,7737,7001
2021,"professionals, managers & executives","petroleum, chemical & pharmaceutical products",chemical engineer (excluding petroleum and petrochemicals),5921,4656
2021,"professionals, managers & executives","petroleum, chemical & pharmaceutical products",technical/engineering services manager (excluding transport),9967,9913
2021,"professionals, managers & executives","fabricated metal products, machinery & equipment",industrial and production engineer,4391,4249
2021,"professionals, managers & executives","fabricated metal products, machinery & equipment",mechanical engineer (excluding transport and vehicle engineer),4685,4366
2021,"professionals, managers & executives","fabricated metal products, machinery & equipment",electrical engineer,4680,4128
2021,"professionals, managers & executives","electronic, computer & optical products",industrial and production engineer,5750,4976
2021,"professionals, managers & executives","electronic, computer & optical products",electronics engineer,5375,5185
2021,"professionals, managers & executives","electronic, computer & optical products",sales manager,9420,8995
2021,"professionals, managers & executives",transport equipment,transport and vehicle engineer,5611,5400
2021,"professionals, managers & executives",transport equipment,industrial and production engineer,6729,6308
2021,"professionals, managers & executives",transport equipment,technical/engineering services manager (excluding transport),6434,6006
2021,"professionals, managers & executives",construction,construction manager,6500,6000
2021,"professionals, managers & executives",construction,managing director/chief executive officer,7800,7000
2021,"professionals, managers & executives",construction,civil engineer,5200,4850
2021,"professionals, managers & executives",services,sales manager,8162,7000
2021,"professionals, managers & executives",services,financial services manager,10309,9871
2021,"professionals, managers & executives",services,financial and investment adviser,5695,5480
2021,"professionals, managers & executives",wholesale and retail trade,sales manager,7804,6681
2021,"professionals, managers & executives",wholesale and retail trade,budgeting and financial accounting manager (including financial controller),9150,8415
2021,"professionals, managers & executives",wholesale and retail trade,business development manager,9750,8380
2021,"professionals, managers & executives",wholesale trade,sales manager,8076,6840
2021,"professionals, managers & executives",wholesale trade,budgeting and financial accounting manager (including financial controller),9270,8504
2021,"professionals, managers & executives",wholesale trade,business development manager,10300,8852
2021,"professionals, managers & executives",retail trade,retail manager,4830,4000
